Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Tommy Hunter,35,0,Maj-NL,"Jun 22, 2022",New York,@,Houston,1,0,,,,1.1,1,0,0,0,2,0,0,0.0,,5,0,0,0,0,0,0,0,0,5,16,0.81,0.06,0.13,0.67,0.0,0.0,0.75,0.333,13.5,,488984
Griffin Jax,27,0,Maj-AL,"Jun 22, 2022",Minnesota,,Cleveland,1,0,,1.0,,1.0,1,1,1,0,0,0,0,9.0,,2,0,0,0,0,1,0,0,0,4,7,1.0,0.0,0.14,0.25,0.0,0.25,1.0,0.333,0.0,,643377
Joe Jimenez,27,0,Maj-AL,"Jun 22, 2022",Detroit,@,Boston,1,0,,,,1.1,1,0,0,0,2,0,0,0.0,,5,0,0,0,0,0,0,0,0,5,22,0.59,0.14,0.09,0.33,0.33,0.0,0.75,0.333,13.5,,641729
Trevor Kelley,29,0,Maj-NL,"Jun 22, 2022",Milwaukee,,St. Louis,1,0,,,,2.0,0,0,0,0,5,0,0,0.0,,6,0,0,0,0,0,2,0,0,6,32,0.63,0.19,0.25,0.0,0.0,0.0,0.0,0.0,22.5,,665001
Craig Kimbrel,34,0,Maj-NL,"Jun 22, 2022",Los Angeles,@,Cincinnati,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,1,0,0,0,0,0,0,0,4,19,0.74,0.26,0.0,0.33,0.0,0.0,1.0,0.333,9.0,,518886
Michael King,27,0,Maj-AL,"Jun 22, 2022",New York,@,Tampa Bay,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,11,0.82,0.36,0.09,0.5,0.0,0.0,0.0,0.0,9.0,,650633
George Kirby,24,0,Maj-AL,"Jun 22, 2022",Seattle,@,Oakland,1,1,1.0,,,6.0,5,0,0,1,6,0,0,0.0,67,22,0,0,0,0,0,0,1,0,23,96,0.71,0.2,0.08,0.38,0.13,0.0,1.0,0.313,9.0,6.0,669923
Corey Knebel,30,0,Maj-NL,"Jun 22, 2022",Philadelphia,@,Texas,1,0,,,,1.0,0,0,0,1,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,23,0.48,0.13,0.04,0.33,0.0,0.0,1.0,0.0,0.0,0.0,608349
Chad Kuhl,29,0,Maj-NL,"Jun 22, 2022",Colorado,@,Miami,1,1,,1.0,,5.0,6,4,4,2,3,1,0,7.2,40,20,0,1,0,0,0,1,1,0,22,92,0.62,0.16,0.11,0.41,0.06,0.12,1.6,0.313,5.4,1.5,641771
Joel Kuhnel,27,0,Maj-NL,"Jun 22, 2022",Cincinnati,,Los Angeles,1,0,,,,1.0,1,3,3,2,2,0,0,27.0,,4,1,0,0,0,0,0,0,0,6,22,0.59,0.14,0.14,0.0,1.0,0.0,3.0,0.5,18.0,1.0,669270
Eric Lauer,27,0,Maj-NL,"Jun 22, 2022",Milwaukee,,St. Louis,1,1,,1.0,,6.0,6,5,5,1,5,2,0,7.5,44,22,1,0,0,1,1,0,0,0,24,97,0.69,0.13,0.11,0.33,0.33,0.06,1.167,0.25,7.5,5.0,641778
Pablo Lopez,26,0,Maj-NL,"Jun 22, 2022",Miami,,Colorado,1,1,1.0,,,7.0,4,1,0,3,6,0,0,0.0,70,23,1,1,0,1,1,0,0,1,27,107,0.64,0.16,0.09,0.44,0.17,0.0,1.0,0.222,7.7,2.0,641154
Yoan L\xc3\xb3pez,29,0,Maj-NL,"Jun 22, 2022",New York,@,Houston,1,0,,,,2.2,1,0,0,0,1,0,0,0.0,,9,0,0,0,0,0,0,0,0,9,31,0.68,0.19,0.06,0.25,0.13,0.25,0.375,0.125,3.4,,661255
Daniel Lynch,25,0,Maj-AL,"Jun 22, 2022",Kansas City,@,Los Angeles,1,1,,1.0,,4.2,3,1,1,5,5,0,0,1.93,54,16,0,0,0,0,1,0,0,0,22,104,0.53,0.13,0.08,0.5,0.17,0.0,1.714,0.25,9.6,1.0,663738
